date,open,high,low,close,volume
2025-10-21,4.0,5.4,4.0,4.65,2931784.0
2025-10-22,4.25,4.4901,4.13,4.385,1061584.0
2025-10-23,4.49,4.59,4.23,4.36,271139.0
2025-10-24,4.37,4.55,4.37,4.46,187662.0
2025-10-27,4.44,4.465,4.3803,4.45,99241.0
2025-10-28,4.49,4.8,4.4,4.69,531290.0
2025-10-29,4.66,6.29,4.6505,6.11,655204.0
2025-10-30,6.09,7.48,6.09,6.9,448824.0
2025-10-31,6.77,6.845,5.17,5.17,144312.0
2025-11-03,5.34,5.75,4.8,5.05,206251.0
2025-11-04,4.74,5.19,4.5006,4.85,62247.0
2025-11-05,4.99,4.99,4.37,4.68,126852.0
2025-11-06,4.54,4.58,4.18,4.26,128097.0
2025-11-07,4.47,5.67,4.451,5.07,1031167.0
2025-11-10,5.04,5.13,4.6,4.6,39823.0
2025-11-11,4.55,4.82,4.55,4.79,38053.0
2025-11-12,4.73,5.05,4.6701,4.765,48428.0
2025-11-13,4.64,4.76,4.48,4.55,25163.0
2025-11-14,4.77,4.772,4.51,4.65,709067.0
2025-11-17,4.83,4.83,4.512,4.55,19353.0
2025-11-18,4.55,4.85,4.55,4.69,31193.0
2025-11-19,4.79,5.35,4.685,5.34,69104.0
2025-11-20,5.43,5.4499,4.8501,4.86,39160.0
2025-11-21,4.97,5.11,4.78,5.05,27881.0
2025-11-24,5.1892,6.5,5.12,6.24,183713.0
2025-11-25,6.41,6.41,5.61,5.64,63461.0
2025-11-26,5.86,5.86,4.7301,4.87,41009.0
2025-11-28,4.95,4.95,4.81,4.81,26288.0
2025-12-01,10.55,17.34,9.49,14.34,45210480.0
2025-12-02,12.5,13.6799,10.51,12.25,1377342.0
2025-12-03,14.49,18.2,14.35,15.04,6074688.0
2025-12-04,15.15,16.5,10.83,13.2,840129.0
2025-12-05,12.69,13.13,7.11,8.22,1050614.0
2025-12-08,7.85,8.02,6.752,7.24,136382.0
2025-12-09,6.96,7.4999,6.7601,7.09,125493.0
2025-12-10,6.73,7.1601,6.01,6.14,56525.0
2025-12-11,6.2651,6.8,5.85,6.79,29241.0
2025-12-12,6.37,7.785,6.37,7.37,125208.0
2025-12-15,7.42,8.22,6.5,7.87,179879.0
2025-12-16,7.73,9.01,7.6,8.35,230923.0
2025-12-17,8.26,9.0,7.9306,7.94,76869.0
2025-12-18,7.95,9.99,7.95,8.77,264560.0
2025-12-19,8.28,9.8,7.13,7.21,223864.0
2025-12-22,7.35,7.725,6.965,6.97,32482.0
2025-12-23,6.83,7.29,5.41,5.5,315261.0
2025-12-24,5.52,5.9926,5.52,5.91,43022.0
2025-12-26,5.64,7.73,5.64,7.38,128784.0
2025-12-29,7.03,7.69,6.53,6.98,44037.0
2025-12-30,6.94,7.3049,5.0401,5.48,200447.0
2025-12-31,5.99,6.03,4.74,4.94,261528.0
2026-01-02,5.0672,5.39,4.75,5.21,58471.0
2026-01-05,5.33,5.63,4.76,5.09,190029.0
2026-01-06,5.16,5.55,5.0754,5.51,72750.0
2026-01-07,5.38,5.53,5.16,5.4,98076.0
2026-01-08,5.35,5.38,5.0959,5.15,9825.0
2026-01-09,5.26,5.54,4.95,5.13,40589.0
2026-01-12,5.0,5.3586,5.0,5.28,31703.0
2026-01-13,11.37,13.83,8.82,12.34,43434668.0
2026-01-14,11.43,16.9,11.38,15.5,2718510.0
2026-01-15,15.51,30.5,15.0001,29.38,2815318.0
2026-01-16,28.41,31.07,22.82,23.31,433178.0
2026-01-20,22.81,28.44,21.401,24.51,133565.0
2026-01-21,23.92,26.55,23.92,26.18,99437.0
2026-01-22,26.02,39.5,24.3,37.11,536396.0
2026-01-23,31.29,34.8896,27.01,30.74,218889.0
2026-01-26,30.01,34.0,27.51,29.62,145834.0
2026-01-27,29.39,31.99,28.33,31.0,141411.0
2026-01-28,35.9,38.1293,31.03,31.57,517104.0
2026-01-29,28.49,31.55,28.1,31.0,265398.0
2026-01-30,29.33,32.09,29.33,30.34,109591.0
2026-02-02,28.55,30.9821,26.625,30.0,369339.0
2026-02-03,30.02,30.5,28.67,28.88,133068.0
2026-02-04,28.68,28.765,6.402,6.75,1658093.0
2026-02-05,5.71,9.17,5.71,6.92,870614.0
2026-02-06,6.98,7.684,6.88,6.88,96002.0
2026-02-09,6.94,7.3,6.475,6.75,78279.0
2026-02-10,6.68,7.11,6.68,6.74,78297.0
2026-02-11,6.7,7.42,6.7,7.09,155737.0
2026-02-12,7.25,7.254,6.763,7.07,72464.0
2026-02-13,7.3,7.3,7.0,7.0,17920.0
2026-02-17,6.91,7.62,6.8712,7.53,37099.0
2026-02-18,7.19,7.5,6.8627,7.15,12773.0
