date,open,high,low,close,volume
2025-02-13,10.01,10.03,10.0,10.0,8359370.0
2025-02-14,10.0,10.01,10.0,10.0,756160.0
2025-02-18,10.01,10.02,10.005,10.0105,827024.0
2025-02-19,10.0102,10.0199,10.01,10.01,31769.0
2025-02-20,10.01,10.02,10.01,10.02,251121.0
2025-02-21,10.02,10.03,10.02,10.02,101088.0
2025-02-24,10.0238,10.03,10.02,10.025,77640.0
2025-02-25,10.03,10.03,10.02,10.03,268231.0
2025-02-26,10.03,10.04,10.03,10.03,101224.0
2025-02-27,10.04,10.04,10.0211,10.03,8007.0
2025-02-28,10.03,10.04,10.03,10.04,1190.0
2025-03-03,10.03,10.04,10.03,10.04,572.0
2025-03-04,10.0201,10.03,10.02,10.03,813.0
2025-03-05,10.0351,10.0351,10.02,10.03,7187.0
2025-03-06,10.02,10.04,10.02,10.03,2472.0
2025-03-07,10.03,10.04,10.02,10.04,27743.0
2025-03-10,10.03,10.04,10.03,10.04,217.0
2025-03-11,10.03,10.03,10.03,10.03,149.0
2025-03-12,10.04,10.1,10.04,10.1,430593.0
2025-03-13,10.0422,10.06,10.04,10.06,1206.0
2025-03-14,10.06,10.06,10.06,10.06,6.0
2025-03-17,10.0411,10.06,10.0411,10.05,153415.0
2025-03-18,10.05,10.05,10.05,10.05,107.0
2025-03-19,10.06,10.06,10.06,10.06,4173.0
2025-03-20,10.06,10.06,10.055,10.06,76026.0
2025-03-21,10.04,10.06,10.04,10.06,110270.0
2025-03-24,10.04,10.04,10.04,10.04,717.0
2025-03-25,10.04,10.04,10.04,10.04,1.0
2025-03-26,10.06,10.07,10.05,10.07,55550.0
2025-03-27,10.07,10.07,10.07,10.07,61.0
2025-03-28,10.07,10.07,10.07,10.07,1.0
2025-03-31,10.07,10.07,10.07,10.07,1.0
2025-04-01,10.0901,10.0901,10.08,10.0811,500.0
2025-04-02,10.0906,10.095,10.08,10.0801,828.0
2025-04-03,10.0852,10.0852,10.07,10.08,518.0
2025-04-04,10.07,10.12,10.07,10.12,555.0
2025-04-07,10.13,10.14,10.1,10.1,9865.0
2025-04-08,10.1155,10.1155,10.07,10.081,828.0
2025-04-09,10.08,10.08,10.07,10.07,731.0
2025-04-10,10.07,10.07,10.07,10.07,28.0
2025-04-11,10.0703,10.1,10.06,10.06,6311.0
2025-04-14,10.0722,10.0722,10.0722,10.0722,122.0
2025-04-15,10.0722,10.0722,10.0722,10.0722,13.0
2025-04-16,10.0852,10.0852,10.07,10.0754,4496.0
2025-04-17,10.0754,10.0754,10.0754,10.0754,36.0
2025-04-21,10.07,10.07,10.07,10.07,127.0
2025-04-22,10.07,10.0852,10.07,10.0747,631.0
2025-04-23,10.07,10.11,10.07,10.11,4246.0
2025-04-24,10.1051,10.11,10.1,10.1099,3522.0
2025-04-25,10.11,10.14,10.1049,10.1099,2518.0
2025-04-28,10.11,10.1285,10.11,10.11,900.0
2025-04-29,10.13,10.13,10.13,10.13,110.0
2025-04-30,10.13,10.1671,10.13,10.13,7016.0
2025-05-01,10.13,10.13,10.13,10.13,160.0
2025-05-02,10.14,10.16,10.14,10.16,292.0
2025-05-05,10.16,10.16,10.16,10.16,282.0
2025-05-06,10.16,10.19,10.16,10.19,1949.0
2025-05-07,10.19,10.19,10.19,10.19,146.0
2025-05-08,10.17,10.17,10.17,10.17,189.0
2025-05-09,10.17,10.17,10.17,10.17,2530.0
2025-05-12,10.13,10.17,10.13,10.15,2200.0
2025-05-13,10.17,10.25,10.17,10.25,791.0
2025-05-14,10.16,10.2,10.16,10.2,9268.0
2025-05-15,10.1996,10.25,10.19,10.21,10547.0
2025-05-16,10.22,10.22,10.22,10.22,1034.0
2025-05-19,10.22,10.22,10.22,10.22,83.0
2025-05-20,10.2,10.2,10.2,10.2,147.0
2025-05-21,10.2,10.2,10.2,10.2,60.0
2025-05-22,10.25,10.6,10.2386,10.25,7388.0
2025-05-23,10.24,10.24,10.24,10.24,142.0
2025-05-27,10.5,10.5,10.24,10.5,101400.0
2025-05-28,10.5,11.35,10.5,10.5,1542.0
2025-05-29,10.99,11.01,10.25,10.3,14020.0
2025-05-30,10.5,10.65,10.28,10.28,6114.0
2025-06-02,10.5,10.5,10.27,10.3,2808.0
2025-06-03,10.5,10.5,10.28,10.31,2442.0
2025-06-04,10.5,10.5,10.32,10.3399,15174.0
2025-06-05,10.5,10.5,10.32,10.3399,8439.0
2025-06-06,10.32,10.36,10.32,10.32,10156.0
2025-06-09,10.34,10.34,10.32,10.3323,3507.0
2025-06-10,10.36,10.45,10.33,10.33,4947.0
2025-06-11,10.36,10.36,10.33,10.34,2624.0
2025-06-12,10.32,10.88,10.32,10.36,11879.0
2025-06-13,10.35,10.35,10.35,10.35,539.0
2025-06-16,10.33,10.35,10.33,10.34,23056.0
2025-06-17,10.5,10.5,10.34,10.34,3363.0
2025-06-18,10.3958,11.0,10.32,10.5,11130.0
2025-06-20,10.5,10.5,10.5,10.5,0.0
2025-06-23,10.34,10.34,10.34,10.34,801.0
2025-06-24,10.5,10.5,10.5,10.5,300.0
2025-06-25,10.5,10.5,10.5,10.5,0.0
2025-06-26,10.3,10.3,10.3,10.3,150.0
2025-06-27,10.45,10.45,10.31,10.31,306.0
2025-06-30,10.33,10.5,10.31,10.5,7464.0
2025-07-01,10.5,10.5,10.38,10.38,289.0
2025-07-02,10.9999,10.9999,10.4,10.4,368.0
2025-07-03,10.4,10.4,10.4,10.4,0.0
2025-07-07,10.3,10.3,10.29,10.29,420.0
2025-07-08,10.29,10.29,10.29,10.29,0.0
2025-07-09,10.29,10.29,10.29,10.29,0.0
2025-07-10,10.29,10.29,10.29,10.29,14.0
2025-07-11,10.29,10.29,10.29,10.29,322.0
2025-07-14,10.29,10.29,10.29,10.29,40.0
2025-07-15,10.6,10.7,10.3,10.6,2485.0
2025-07-16,10.6,10.6,10.6,10.6,16.0
2025-07-17,10.6,10.6,10.6,10.6,2.0
2025-07-18,10.6,10.6,10.6,10.6,0.0
2025-07-21,10.5,10.5,10.5,10.5,103.0
2025-07-22,10.5,10.5,10.5,10.5,11.0
2025-07-23,10.5,10.5,10.32,10.32,1460.0
2025-07-24,10.32,10.32,10.32,10.32,0.0
2025-07-25,11.17,11.17,10.29,10.29,701.0
2025-07-28,10.3,10.33,10.3,10.33,902.0
2025-07-29,10.3,10.3,10.3,10.3,102.0
2025-07-30,10.3,10.3,10.3,10.3,0.0
2025-07-31,10.3,10.3,10.3,10.3,0.0
2025-08-01,10.3,10.3,10.3,10.3,0.0
2025-08-04,10.29,10.29,10.29,10.29,104.0
2025-08-05,10.31,10.31,10.31,10.31,306.0
2025-08-06,10.31,10.31,10.31,10.31,104.0
2025-08-07,10.31,10.31,10.31,10.31,129.0
2025-08-08,10.31,10.31,10.31,10.31,0.0
2025-08-11,10.31,10.31,10.31,10.31,280.0
2025-08-12,10.32,10.32,10.3,10.3,394.0
2025-08-13,10.3,10.3,10.3,10.3,0.0
2025-08-14,10.3,10.3,10.3,10.3,6.0
2025-08-15,10.3,10.3,10.3,10.3,0.0
2025-08-18,10.3,10.3,10.3,10.3,16.0
2025-08-19,10.3,10.3,10.3,10.3,11.0
2025-08-20,10.3,10.3,10.3,10.3,0.0
2025-08-21,10.5,10.5,10.3252,10.33,699.0
2025-08-22,10.33,10.33,10.33,10.33,1.0
2025-08-25,10.33,10.33,10.33,10.33,3.0
2025-08-26,10.33,10.33,10.33,10.33,1.0
2025-08-27,10.33,10.33,10.33,10.33,323.0
2025-08-28,10.3099,10.31,10.3099,10.31,321.0
2025-08-29,10.31,10.31,10.31,10.31,81.0
2025-09-02,10.4,10.45,10.4,10.44,405.0
2025-09-03,10.5,10.5,10.5,10.5,605.0
2025-09-04,10.5,10.5,10.5,10.5,2.0
2025-09-05,10.27,10.3,10.27,10.3,572.0
2025-09-08,10.3,10.3,10.3,10.3,68.0
2025-09-09,10.3,10.3,10.3,10.3,0.0
2025-09-10,10.3,10.3,10.3,10.3,0.0
2025-09-11,10.3,10.3,10.3,10.3,78.0
